"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 26 11:23:02 GMT 2022","Wed Oct 26 11:23:09 GMT 2022","6255","","Login testing","","Login testing","Sending a message using a function Talk to an expert","Sending a message using a function Talk to an expert",""
"passed","Wed Oct 26 11:22:35 GMT 2022","Wed Oct 26 11:22:45 GMT 2022","9597","","Resources - link testing","","Resources - link testing","Testing the blog filter","Testing the blog filter",""
"passed","Wed Oct 26 11:22:26 GMT 2022","Wed Oct 26 11:22:37 GMT 2022","11605","","Login testing","","Login testing","Registration on the website with invalid email","Registration on the website with invalid email",""
"passed","Wed Oct 26 11:22:57 GMT 2022","Wed Oct 26 11:23:02 GMT 2022","4986","","Login testing","","Login testing","Password reset","Password reset",""
"passed","Wed Oct 26 11:22:39 GMT 2022","Wed Oct 26 11:22:48 GMT 2022","9015","","Company - link testing","","Company - link testing","Report Abuse filling out the form","Report Abuse filling out the form",""
"passed","Wed Oct 26 11:23:12 GMT 2022","Wed Oct 26 11:23:15 GMT 2022","2210","","Product - link and text testing","","Product - link and text testing","Fax Api - Check link and page title","Fax Api - Check link and page title",""
"passed","Wed Oct 26 11:23:06 GMT 2022","Wed Oct 26 11:23:12 GMT 2022","6532","","Product - link and text testing","","Product - link and text testing","Number Lookup - What can you build with the Telnyx Lookup API","Number Lookup - What can you build with the Telnyx Lookup API",""
"passed","Wed Oct 26 11:22:25 GMT 2022","Wed Oct 26 11:22:33 GMT 2022","8281","","Company - link testing","","Company - link testing","About Us checking texts and addresses","About Us checking texts and addresses",""
"passed","Wed Oct 26 11:22:58 GMT 2022","Wed Oct 26 11:23:06 GMT 2022","7397","","Product - link and text testing","","Product - link and text testing","Voice Api - All your business needs, in one API","Voice Api - All your business needs, in one API",""
"passed","Wed Oct 26 11:22:52 GMT 2022","Wed Oct 26 11:22:58 GMT 2022","6637","","Product - link and text testing","","Product - link and text testing","Voice Api - Build exactly what you need for your use-case","Voice Api - Build exactly what you need for your use-case",""
"passed","Wed Oct 26 11:22:50 GMT 2022","Wed Oct 26 11:22:54 GMT 2022","4489","","Resources - link testing","","Resources - link testing","Resource Hub page title check","Resource Hub page title check",""
"passed","Wed Oct 26 11:22:44 GMT 2022","Wed Oct 26 11:22:57 GMT 2022","13019","","Waitlist - link testing","","Waitlist - link testing","Waitlist - functionality check","Waitlist - functionality check",""
"passed","Wed Oct 26 11:22:37 GMT 2022","Wed Oct 26 11:22:45 GMT 2022","8083","","Login testing","","Login testing","Registration on the website with valid email","Registration on the website with valid email",""
"passed","Wed Oct 26 11:22:26 GMT 2022","Wed Oct 26 11:22:37 GMT 2022","10955","","Pricing - function test","","Pricing - function test","Elastic SIP Trunking pricing","Elastic SIP Trunking pricing",""
"passed","Wed Oct 26 11:22:25 GMT 2022","Wed Oct 26 11:22:27 GMT 2022","2400","","Call Us - link testing","","Call Us - link testing","Checking the visibility of phone button","Checking the visibility of phone button",""
"passed","Wed Oct 26 11:22:26 GMT 2022","Wed Oct 26 11:22:52 GMT 2022","26182","","Product - link and text testing","","Product - link and text testing","Elastic SIP Trunking - Whatever you need, build it with Telnyx","Elastic SIP Trunking - Whatever you need, build it with Telnyx",""
"passed","Wed Oct 26 11:22:45 GMT 2022","Wed Oct 26 11:22:57 GMT 2022","12041","","Login testing","","Login testing","Authorization on the website","Authorization on the website",""
"passed","Wed Oct 26 11:22:48 GMT 2022","Wed Oct 26 11:22:53 GMT 2022","4771","","Company - link testing","","Company - link testing","Checking page url Privacy Policy","Checking page url Privacy Policy",""
"passed","Wed Oct 26 11:22:33 GMT 2022","Wed Oct 26 11:22:39 GMT 2022","5707","","Company - link testing","","Company - link testing","Data & Privacy following links","Data & Privacy following links",""
"passed","Wed Oct 26 11:22:45 GMT 2022","Wed Oct 26 11:22:50 GMT 2022","4729","","Resources - link testing","","Resources - link testing","Checking links and news feed texts","Checking links and news feed texts",""
